frame,joint_idx,joint_name,px,vx,ax,jx,py,vy,ay,jy,pz,vz,az,jz
0,0,Pelvis,0.12406244,-0.08840459,0.00959613,-0.62047490,1.62134247,-0.02308733,0.68627240,0.48984205,0.16325903,-0.10709169,-0.23432599,0.35688701
0,1,Spine1,-0.24470158,0.03803208,-0.95836938,-0.23509113,0.90643627,-0.15638899,-0.68659460,-1.26744648,0.00665915,-0.07600226,-0.91191579,0.27126436
0,2,Spine2,-0.46929490,-0.07955705,-0.79175951,-0.80883724,1.02159131,-0.01215544,-0.20386698,1.06089862,-0.02925693,-0.00525473,-0.51590819,-0.80753468
0,3,Spine3,-0.49363287,-0.03222590,-0.66358369,-1.54714468,1.52901749,0.01277068,0.06642974,0.85938269,-0.20566484,0.02886380,0.68335039,0.11935403
0,4,Neck,0.37489301,-0.12268018,-0.07237189,0.66724756,0.78124121,0.01950303,0.38892638,1.43852259,0.06049908,0.05620351,-0.05555551,-0.67566225
0,5,Head,0.13685205,-0.10432243,0.42315874,-0.79464237,1.28106209,-0.03868174,0.59395882,0.64690342,-0.21227770,-0.04254275,-0.72751375,-1.99241978
0,6,LShoulder,0.16245727,0.06464673,-0.13511915,-0.30368039,0.40878625,-0.00739117,0.77340014,0.35258907,0.20460593,-0.04398580,-0.21799790,-0.12077045
0,7,LArm,0.13583590,-0.04418378,0.02264836,1.05212636,1.11996365,0.12763830,0.33401233,-0.00539956,-0.07601390,0.06001850,-0.15068316,0.58338235
0,8,LForearm,-0.13749809,-0.20116588,0.06143626,-0.62394359,0.24912517,0.00670268,1.12915664,0.20540395,-0.22946813,-0.10344775,-0.39959215,0.49301329
0,9,LHand,0.01952817,0.05210579,-0.01066914,-0.85795648,1.41968910,-0.12023733,-0.49516411,0.97206671,0.24009384,-0.00352605,0.13628016,0.19274591
0,10,RShoulder,0.12769236,-0.23448369,-1.03931115,0.75673850,1.46080264,-0.09963226,0.39540286,-0.84549703,0.01393527,0.00789776,-0.84734153,0.77899108
0,11,RArm,-0.21400386,0.14123770,-0.09784891,-0.54289193,1.72179665,-0.02269842,-0.48926545,-0.05119041,-0.03688751,-0.00969701,0.52311460,-0.79329640
0,12,RForearm,0.42685977,-0.02686189,-0.34693911,0.00795910,0.30833075,0.09099733,-0.17572644,-0.37526684,-0.04638885,-0.00807483,-0.29001294,-0.29992172
0,13,RHand,-0.29785177,-0.04424744,0.68277837,-0.63205255,0.27872518,-0.13035960,-0.78512579,-1.76101947,-0.17268805,0.03069213,-0.08000834,0.73492671
0,14,LUpLeg,0.13181433,0.02691610,-0.57086485,-0.50710470,1.22360669,-0.07383624,-0.59842592,0.29168036,-0.18681486,0.00772767,0.66665085,-0.03379043
0,15,LLeg,0.01289212,-0.01108163,0.56965630,-0.56357139,1.65764918,-0.00466870,0.29465051,-1.38196872,-0.26755254,0.00905225,0.22263462,0.94952993
0,16,LFoot,0.17847696,0.07109575,-0.19937197,0.86172308,0.23348540,0.10838431,0.77378625,0.49393208,-0.10776746,0.07204537,-0.59446710,0.87361911
0,17,LToe,0.44862988,-0.17022097,-0.07583205,-2.10998045,1.56905996,0.09568559,0.42842061,0.25929902,-0.27425492,-0.12859977,-0.82043394,0.04438589
0,18,RUpLeg,0.26697982,-0.17824531,-0.80832522,0.40652854,1.61708787,-0.00886021,0.22019381,-0.98929494,-0.17943433,-0.09854204,-0.05241525,-0.65805879
0,19,RLeg,0.21807039,-0.04493111,1.00962739,-0.08948796,1.58673754,0.01261790,-0.69685751,-0.01402973,0.23062471,0.04783627,0.39610568,-1.44986382
0,20,RFoot,0.15857581,0.00667917,-0.07570657,-1.96879661,0.36518869,-0.06714873,-1.20750530,-3.25143842,-0.07669579,0.10374878,-0.36353009,-0.53011535
0,21,RToe,-0.42344022,-0.09283953,0.05057801,0.80540565,1.41323678,0.11248028,-0.00849617,0.55256730,0.04901657,0.01651376,0.02631839,0.21570470
0,22,Chest,-0.18765397,0.11005844,0.04451428,1.46040677,1.51841829,-0.14921453,-0.67762105,-0.46358376,0.07871151,0.01507091,0.88645262,0.77172117
1,0,Pelvis,0.11966815,-0.08847458,-0.01088035,-0.62047491,1.61532525,-0.00035959,0.70243411,0.48984202,0.17228343,-0.11421130,-0.22254179,0.35688708
1,1,Spine1,-0.24315061,0.00630494,-0.96612694,-0.23509113,0.89253774,-0.18001266,-0.72842490,-1.26744653,0.00174194,-0.10601099,-0.90296511,0.27126435
