frame,joint_idx,joint_name,px,vx,ax,jx,py,vy,ay,jy,pz,vz,az,jz
0,0,Pelvis,0.12203706,-0.08840467,0.00959613,-0.62047490,1.63447187,-0.02308681,0.68627241,0.48984205,0.16023009,-0.10709181,-0.23432599,0.35688701
0,1,Spine1,-0.24352287,0.03803213,-0.95836938,-0.23509113,0.90797382,-0.15638893,-0.68659460,-1.26744648,0.00215585,-0.07600244,-0.91191579,0.27126436
0,2,Spine2,-0.46881485,-0.07955703,-0.79175951,-0.80883724,1.02596039,-0.01215527,-0.20386698,1.06089862,-0.01919867,-0.00525433,-0.51590818,-0.80753468
0,3,Spine3,-0.49651487,-0.03222602,-0.66358369,-1.54714468,1.52810325,0.01277065,0.06642974,0.85938269,-0.20659064,0.02886376,0.68335039,0.11935403
0,4,Neck,0.36729380,-0.12268048,-0.07237189,0.66724756,0.77709621,0.01950286,0.38892638,1.43852259,0.06208930,0.05620358,-0.05555551,-0.67566225
0,5,Head,0.13419526,-0.10432254,0.42315874,-0.79464237,1.27872124,-0.03868184,0.59395882,0.64690342,-0.20906395,-0.04254262,-0.72751375,-1.99241978
0,6,LShoulder,0.16516484,0.06464684,-0.13511915,-0.30368039,0.40988983,-0.00739112,0.77340014,0.35258907,0.20569961,-0.04398576,-0.21799790,-0.12077045
0,7,LArm,0.13854775,-0.04418367,0.02264836,1.05212636,1.11687486,0.12763818,0.33401233,-0.00539956,-0.07258764,0.06001864,-0.15068316,0.58338235
0,8,LForearm,-0.13409042,-0.20116574,0.06143626,-0.62394359,0.24715697,0.00670260,1.12915664,0.20540395,-0.22763557,-0.10344767,-0.39959215,0.49301329
0,9,LHand,0.02260342,0.05210591,-0.01066914,-0.85795648,1.42157778,-0.12023725,-0.49516411,0.97206671,0.24385398,-0.00352590,0.13628016,0.19274591
0,10,RShoulder,0.12116552,-0.23448395,-1.03931115,0.75673850,1.46839462,-0.09963196,0.39540286,-0.84549703,0.00936017,0.00789758,-0.84734153,0.77899108
0,11,RArm,-0.22349430,0.14123732,-0.09784892,-0.54289193,1.72013729,-0.02269848,-0.48926545,-0.05119041,-0.03130019,-0.00969679,0.52311460,-0.79329640
0,12,RForearm,0.42115635,-0.02686212,-0.34693911,0.00795910,0.31256036,0.09099750,-0.17572644,-0.37526684,-0.04213957,-0.00807466,-0.29001294,-0.29992172
0,13,RHand,-0.29891639,-0.04424748,0.68277837,-0.63205255,0.27711967,-0.13035966,-0.78512579,-1.76101947,-0.17119740,0.03069219,-0.08000834,0.73492671
0,14,LUpLeg,0.13136373,0.02691608,-0.57086485,-0.50710470,1.21421775,-0.07383661,-0.59842593,0.29168036,-0.18931795,0.00772757,0.66665084,-0.03379043
0,15,LLeg,0.02288715,-0.01108123,0.56965630,-0.56357139,1.66561962,-0.00466838,0.29465052,-1.38196872,-0.27489998,0.00905196,0.22263462,0.94952993
0,16,LFoot,0.18279276,0.07109592,-0.19937196,0.86172308,0.24021577,0.10838458,0.77378625,0.49393208,-0.11276034,0.07204518,-0.59446710,0.87361911
0,17,LToe,0.45358032,-0.17022077,-0.07583205,-2.10998045,1.56690931,0.09568550,0.42842060,0.25929902,-0.27487134,-0.12859979,-0.82043394,0.04438589
0,18,RUpLeg,0.26043560,-0.17824557,-0.80832522,0.40652854,1.61095542,-0.00886045,0.22019380,-0.98929494,-0.18496675,-0.09854226,-0.05241525,-0.65805879
0,19,RLeg,0.21836691,-0.04493110,1.00962739,-0.08948796,1.58582323,0.01261787,-0.69685751,-0.01402973,0.23639383,0.04783650,0.39610568,-1.44986382
0,20,RFoot,0.15682220,0.00667910,-0.07570657,-1.96879661,0.35881666,-0.06714899,-1.20750530,-3.25143842,-0.06760910,0.10374915,-0.36353008,-0.53011535
